pg_id,name,city,locality,rent_monthly,sharing_type,ac,wifi,food_included,food_type,description
PG000001,Zenith Co-living Space,Pune,Hadapsar,11000,Triple,No,Yes,Yes,Both,"Zenith Co-living Space is a triple-sharing PG located in Hadapsar, Pune, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Ad eius dolore qui perspiciatis tempora assumenda in. Ideal for boys looking for a premium stay near Hadapsar."
PG000002,Royal Homestay PG,Ahmedabad,Navrangpura,10300,Double,No,Yes,Yes,Both,"Royal Homestay PG is a double-sharing PG located in Navrangpura, Ahmedabad, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Atque doloremque nobis natus quaerat praesentium in. Ideal for working professionals looking for a premium stay near Navrangpura."
PG000003,Cosy Corner Homestay PG,Chennai,Adyar,7500,Dorm,No,Yes,No,None,"Cosy Corner Homestay PG is a dorm-sharing PG located in Adyar, Chennai, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Nihil repellat ab rem praesentium excepturi culpa vero excepturi at atque sed nobis rem. Ideal for co-living looking for a budget-friendly stay near Adyar."
PG000004,Urban Nest,Gurgaon,Sushant Lok,17400,Double,Yes,Yes,No,None,"Urban Nest is a double-sharing PG located in Sushant Lok, Gurgaon, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Modi voluptate fugiat mollitia repudiandae nulla similique neque provident aliquid dolorem enim aspernatur doloremque. Ideal for students looking for a premium stay near Sushant Lok."
PG000005,Shanti Co-living Space,Bangalore,HSR Layout,15800,Double,Yes,Yes,No,None,"Shanti Co-living Space is a double-sharing PG located in HSR Layout, Bangalore, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Fugit iste rerum cum explicabo pariatur praesentium placeat. Ideal for working professionals looking for a premium stay near HSR Layout."
PG000006,Comfort Nest,Bangalore,HSR Layout,11300,Triple,No,Yes,No,None,"Comfort Nest is a triple-sharing PG located in HSR Layout, Bangalore, offering naturally ventilated rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Non cupiditate quas cum fugit voluptatibus odit nam. Ideal for co-living looking for a premium stay near HSR Layout."
PG000007,Skyline Residency,Mumbai,Powai,13800,Triple,Yes,Yes,No,None,"Skyline Residency is a triple-sharing PG located in Powai, Mumbai, offering air-conditioned rooms, high-speed WiFi, and no meal plan (self-cooking allowed). Sapiente quod dolorem adipisci et eaque distinctio velit soluta et omnis id. Ideal for girls looking for a premium stay near Powai."
PG000008,Comfort Co-living Space,Noida,Sector 62,15300,Double,Yes,Yes,Yes,Veg,"Comfort Co-living Space is a double-sharing PG located in Sector 62, Noida, offering air-conditioned rooms, high-speed WiFi, and veg meals included. Corporis consequuntur quia molestiae quia incidunt nesciunt facere voluptatum consequuntur laudantium quidem similique corrupti. Ideal for working professionals looking for a premium stay near Sector 62."
PG000009,Blue Bell Nest,Gurgaon,Cyber Hub Area,15500,Triple,Yes,Yes,Yes,Both,"Blue Bell Nest is a triple-sharing PG located in Cyber Hub Area, Gurgaon, offering air-conditioned rooms, high-speed WiFi, and both meals included. Recusandae in aperiam fugit voluptatum minus voluptas similique accusamus. Ideal for working professionals looking for a premium stay near Cyber Hub Area."
PG000010,Sai Boys Hostel,Hyderabad,Madhapur,13100,Double,No,Yes,Yes,Both,"Sai Boys Hostel is a double-sharing PG located in Madhapur, Hyderabad, offering naturally ventilated rooms, high-speed WiFi, and both meals included. Placeat modi eaque odit beatae ipsa iste veritatis. Ideal for working professionals looking for a premium stay near Madhapur."
